subsite,node,sensor,method,stream,begin_datetime,end_datetime
CE01ISSM,MFD37,00-DCLENG000,telemetered,cg_dcl_eng_dcl_msg_counts,2014-04-15T17:36:53.391000Z,2014-04-16T17:36:53.391Z
CE01ISSM,MFD37,00-DCLENG000,telemetered,cg_dcl_eng_dcl_pps,2014-04-15T17:36:53.394000Z,2014-04-16T17:36:53.394Z
CE01ISSM,MFD37,00-DCLENG000,telemetered,cg_dcl_eng_dcl_status,2014-04-15T17:36:53.586000Z,2014-04-16T17:36:53.586Z
CE01ISSM,MFD37,00-DCLENG000,telemetered,cg_dcl_eng_dcl_superv,2014-04-15T22:19:08.079000Z,2014-04-16T22:19:08.079Z
CE01ISSM,MFD37,01-OPTAAD000,telemetered,optaa_dj_dcl_instrument,2014-04-18T12:02:01.339000Z,2014-04-19T12:02:01.339Z
CE01ISSM,MFD37,01-OPTAAD000,telemetered,optaa_dj_dcl_metadata,2014-04-18T12:00:15.000000Z,2014-04-19T12:00:15.000Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_cpu_uptime,2014-04-14T20:40:20.720000Z,2014-04-15T20:40:20.720Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_dlog_mgr,2014-04-14T20:40:20.936000Z,2014-04-15T20:40:20.936Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_dlog_status,2014-04-14T20:40:20.944000Z,2014-04-15T20:40:20.944Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_error,2014-04-14T20:15:20.335000Z,2014-04-15T20:15:20.335Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_gps,2014-04-14T20:40:20.933000Z,2014-04-15T20:40:20.933Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_msg_counts,2014-04-14T20:40:20.931000Z,2014-04-15T20:40:20.931Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_pps,2014-04-14T20:40:20.934000Z,2014-04-15T20:40:20.934Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_status,2014-04-14T20:40:21.125000Z,2014-04-15T20:40:21.125Z
CE01ISSM,SBD11,00-DCLENG000,telemetered,cg_dcl_eng_dcl_superv,2014-04-14T20:40:20.935000Z,2014-04-15T20:40:20.935Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_cpu_uptime,2014-04-10T19:57:08.120000Z,2014-04-11T19:57:08.120Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_dlog_mgr,2014-04-10T19:57:08.289000Z,2014-04-11T19:57:08.289Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_dlog_status,2014-04-10T19:57:08.296000Z,2014-04-11T19:57:08.296Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_error,2014-04-13T17:35:03.172000Z,2014-04-14T17:35:03.172Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_gps,2014-04-10T19:57:08.281000Z,2014-04-11T19:57:08.281Z
CE01ISSM,SBD12,00-DCLENG000,telemetered,cg_dcl_eng_dcl_msg_counts,2014-04-10T19:57:08.278000Z,2014-04-11T19:57:08.278Z
